Operation Type, Drone ID, Step Simulated Time, Total Simulated Time
Search, 300, 2.224956, 18.1696
Search, 300, 2.664934, 20.83453
Search, 300, 2.620232, 23.45476
Search, 300, 2.666827, 26.12159
Search, 300, 0.4678851, 26.58947
Search, 300, 2.51397, 29.10344
Search, 300, 2.174044, 31.27749
Search, 300, 1.140814, 32.4183
Search, 300, 2.558054, 34.97635
Search, 300, 0.5557353, 35.53209
Search, 300, 2.541072, 38.07316
Search, 300, 0.3166383, 38.3898
Search, 300, 2.269807, 40.65961
Search, 300, 1.470178, 42.12978
Search, 300, 2.378047, 44.50783
Search, 300, 1.104972, 45.6128
Search, 300, 2.102984, 47.71579
Search, 300, 2.514127, 50.22992
Search, 300, 0.725934, 50.95585
Search, 300, 1.367681, 52.32353
Search, 300, 0.4004038, 52.72393
Search, 300, 1.792372, 54.5163
Search, 300, 0.2042565, 54.72056
Search, 300, 2.100492, 56.82105
Search, 300, 1.351858, 58.17291
Search, 300, 0.131915, 58.30483
Search, 300, 1.513649, 59.81848
Search, 300, 2.473793, 62.29227
Search, 300, 1.746002, 64.03827
Search, 300, 1.487829, 65.5261
Search, 300, 0.9001233, 66.42622
Search, 300, 2.656917, 69.08314
Search, 300, 1.357767, 70.4409
Search, 300, 2.075548, 72.51645
Search, 300, 2.337219, 74.85367
Search, 300, 1.592597, 76.44627
Search, 300, 1.374382, 77.82065
Search, 300, 1.113434, 78.93408
Search, 300, 1.060534, 79.99461
Search, 300, 1.494808, 81.48942
Search, 300, 2.568725, 84.05814
Search, 300, 1.80983, 85.86797
Search, 300, 2.630236, 88.49821
Search, 300, 2.608704, 91.10691
Search, 300, 0.5705803, 91.67749
Search, 300, 0.7612009, 92.43869
Search, 300, 0.3665178, 92.80521
Search, 300, 0.5356973, 93.3409
Search, 300, 2.523872, 95.86478
Search, 300, 1.849568, 97.71435
Search, 300, 1.955686, 99.67004
Search, 300, 2.496391, 102.1664
Search, 300, 1.408436, 103.5749
Search, 300, 2.516828, 106.0917
Search, 300, 1.729083, 107.8208
Search, 300, 1.477688, 109.2985
Search, 300, 1.562964, 110.8614
Search, 300, 2.314272, 113.1757
Search, 300, 0.5349131, 113.7106
Search, 300, 2.682287, 116.3929
Search, 300, 2.269458, 118.6624
Search, 300, 2.459608, 121.122
Search, 300, 2.248505, 123.3705
Search, 300, 0.4570894, 123.8276
Search, 300, 0.3110815, 124.1386
Search, 300, 1.532379, 125.671
Search, 300, 2.282194, 127.9532
Search, 300, 1.436247, 129.3895
Search, 300, 1.285302, 130.6748
Search, 300, 1.115021, 131.7898
Search, 300, 1.153154, 132.9429
Search, 300, 0.8954418, 133.8384
Search, 300, 1.006541, 134.8449
Search, 300, 1.271556, 136.1165
Search, 300, 2.655903, 138.7724
Search, 300, 1.761934, 140.5343
Search, 300, 0.9921746, 141.5265
Search, 300, 2.408074, 143.9346
Search, 300, 2.531836, 146.4664
Search, 300, 2.177901, 148.6443
Search, 300, 2.498517, 151.1428
Search, 300, 0.07941723, 151.2223
Search, 300, 2.646558, 153.8688
Search, 300, 0.390109, 154.2589
Search, 300, 2.519294, 156.7782
Search, 300, 0.8094056, 157.5876
Search, 300, 2.289737, 159.8773
Search, 300, 2.135286, 162.0126
Search, 300, 0.2138059, 162.2264
Search, 300, 0.7746808, 163.0011
Search, 300, 0.7234337, 163.7245
Search, 300, 2.557734, 166.2823
Search, 300, 0.7378388, 167.0201
Search, 300, 1.829733, 168.8499
Search, 300, 1.329366, 170.1792
Search, 300, 1.783284, 171.9625
Search, 300, 1.949784, 173.9123
Search, 300, 2.266798, 176.1791
Search, 300, 0.4700494, 176.6491
Search, 300, 2.107971, 178.7571
Search, 300, 1.984668, 180.7418
Search, 300, 2.387794, 183.1295
Search, 300, 0.2788682, 183.4084
Search, 300, 1.541933, 184.9503
Search, 300, 2.05297, 187.0033
Search, 300, 2.308828, 189.3121
Search, 300, 1.931881, 191.244
Search, 300, 1.938362, 193.1824
Search, 300, 1.120617, 194.303
Search, 300, 2.581304, 196.8843
Search, 300, 0.5480257, 197.4323
Search, 300, 0.9341678, 198.3665
Search, 300, 2.215771, 200.5823
Search, 300, 2.097603, 202.6799
Search, 300, 2.446485, 205.1264
Search, 300, 2.363959, 207.4903
Search, 300, 2.281972, 209.7723
Search, 300, 1.629467, 211.4017
Search, 300, 2.373863, 213.7756
Search, 300, 0.1174586, 213.8931
